Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
82,7611,species,Green Heron,Butorides virescens,1,West Hyattsville Metro Ponds,US-MD,05 May 2023,L23706897,S136133622,,1
83,6083,species,Lesser Yellowlegs,Tringa flavipes,7,West Hyattsville Metro Ponds,US-MD,05 May 2023,L23706897,S136133622,,1
84,7513,species,Black-crowned Night Heron,Nycticorax nycticorax,1,West Hyattsville Metro Ponds,US-MD,01 May 2023,L23706897,S135754940,,1
85,33401,species,Orchard Oriole,Icterus spurius,1,Bladensburg Waterfront Park,US-MD,01 May 2023,L795955,S135754950,,1
86,11287,species,Downy Woodpecker,Dryobates pubescens,1,Bladensburg Waterfront Park,US-MD,01 May 2023,L795955,S135754950,,1
87,6064,species,Spotted Sandpiper,Actitis macularius,2,Bladensburg Waterfront Park,US-MD,01 May 2023,L795955,S135754950,,1
88,468,species,Blue-winged Teal,Spatula discors,1,Bladensburg Waterfront Park,US-MD,01 May 2023,L795955,S135754950,,1
89,6067,species,Solitary Sandpiper,Tringa solitaria,1,West Hyattsville Metro Ponds,US-MD,01 May 2023,L23706897,S135754975,,1
90,32338,species,American Goldfinch,Spinus tristis,2,West Hyattsville Metro Ponds,US-MD,01 May 2023,L23706897,S135678934,,1
91,27758,species,Gray Catbird,Dumetella carolinensis,2,West Hyattsville Metro Ponds,US-MD,01 May 2023,L23706897,S135678934,,1
92,441,species,Wood Duck,Aix sponsa,1,West Hyattsville Metro Ponds,US-MD,01 May 2023,L23706897,S135678934,,1
93,33556,species,Brown-headed Cowbird,Molothrus ater,2,Bladensburg Waterfront Park,US-MD,01 May 2023,L795955,S135678960,,1
94,32995,species,Song Sparrow,Melospiza melodia,2,Bladensburg Waterfront Park,US-MD,01 May 2023,L795955,S135678960,,1
95,11088,species,Red-bellied Woodpecker,Melanerpes carolinus,1,West Hyattsville Metro Ponds,US-MD,24 Apr 2023,L23706897,S134840823,,1
96,27881,species,Eastern Bluebird,Sialia sialis,1,Bladensburg Waterfront Park,US-MD,24 Apr 2023,L795955,S134837703,,1
97,27870,species,Northern Mockingbird,Mimus polyglottos,1,Bladensburg Waterfront Park,US-MD,24 Apr 2023,L795955,S134837703,,1
98,8391,species,Red-shouldered Hawk,Buteo lineatus,1,Bladensburg Waterfront Park,US-MD,24 Apr 2023,L795955,S134837703,,1
100,34224,species,Northern Cardinal,Cardinalis cardinalis,1,Avondale Neighborhood Park,US-MD,20 Apr 2023,L5088934,S134411861,,1
101,33874,species,Yellow-rumped Warbler,Setophaga coronata,2,Avondale Neighborhood Park,US-MD,20 Apr 2023,L5088934,S134411861,,1
102,33136,species,Eastern Towhee,Pipilo erythrophthalmus,1,Avondale Neighborhood Park,US-MD,20 Apr 2023,L5088934,S134411861,,1
103,27107,species,Carolina Wren,Thryothorus ludovicianus,1,Avondale Neighborhood Park,US-MD,20 Apr 2023,L5088934,S134411861,,1
104,26942,species,Northern House Wren,Troglodytes aedon,1,Avondale Neighborhood Park,US-MD,20 Apr 2023,L5088934,S134411861,,1
105,21333,species,American Crow,Corvus brachyrhynchos,1,Avondale Neighborhood Park,US-MD,20 Apr 2023,L5088934,S134411861,,1
106,21066,species,Blue Jay,Cyanocitta cristata,1,Avondale Neighborhood Park,US-MD,20 Apr 2023,L5088934,S134411861,,1
107,17302,species,Eastern Kingbird,Tyrannus tyrannus,1,West Hyattsville Metro Ponds,US-MD,20 Apr 2023,L23706897,S134354809,,1
108,32919,species,White-throated Sparrow,Zonotrichia albicollis,1,Bladensburg Waterfront Park,US-MD,20 Apr 2023,L795955,S134350450,,1
109,31261,species,House Sparrow,Passer domesticus,10,Bladensburg Waterfront Park,US-MD,20 Apr 2023,L795955,S134350450,N,1
110,26874,species,Blue-gray Gnatcatcher,Polioptila caerulea,2,Bladensburg Waterfront Park,US-MD,20 Apr 2023,L795955,S134350450,,1
111,8271,species,Bald Eagle,Haliaeetus leucocephalus,1,Bladensburg Waterfront Park,US-MD,20 Apr 2023,L795955,S134350450,,1
112,3842,species,Chimney Swift,Chaetura pelagica,4,Bladensburg Waterfront Park,US-MD,20 Apr 2023,L795955,S134350450,,1
113,23957,species,Barn Swallow,Hirundo rustica,3,Bladensburg Waterfront Park,US-MD,17 Apr 2023,L795955,S134135185,,1
114,23876,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,1,Bladensburg Waterfront Park,US-MD,17 Apr 2023,L795955,S134135185,,1
115,23834,species,Tree Swallow,Tachycineta bicolor,2,Bladensburg Waterfront Park,US-MD,17 Apr 2023,L795955,S134135185,,1
116,6644,species,Caspian Tern,Hydroprogne caspia,1,Bladensburg Waterfront Park,US-MD,17 Apr 2023,L795955,S134135185,,1
117,2373,species,Mourning Dove,Zenaida macroura,2,Bladensburg Waterfront Park,US-MD,17 Apr 2023,L795955,S134135185,,1
118,729,species,Hooded Merganser,Lophodytes cucullatus,2,Bladensburg Waterfront Park,US-MD,17 Apr 2023,L795955,S134135185,,1
119,7658,species,Great Blue Heron,Ardea herodias,5,Bladensburg Waterfront Park,US-MD,10 Apr 2023,L795955,S133363358,,1
120,27571,species,European Starling,Sturnus vulgaris,50,Bladensburg Waterfront Park,US-MD,10 Apr 2023,L795955,S133362248,N,1
121,10202,species,Belted Kingfisher,Megaceryle alcyon,1,Bladensburg Waterfront Park,US-MD,10 Apr 2023,L795955,S133362248,,1
122,7737,species,Osprey,Pandion haliaetus,1,Bladensburg Waterfront Park,US-MD,10 Apr 2023,L795955,S133362248,,1
123,7720,species,Turkey Vulture,Cathartes aura,1,Bladensburg Waterfront Park,US-MD,10 Apr 2023,L795955,S133362248,,1
124,5770,species,Killdeer,Charadrius vociferus,4,Bladensburg Waterfront Park,US-MD,10 Apr 2023,L795955,S133362248,,1
125,1817,species,Rock Pigeon,Columba livia,3,Bladensburg Waterfront Park,US-MD,10 Apr 2023,L795955,S133362248,N,1
126,33576,species,Common Grackle,Quiscalus quiscula,1,Bladensburg Waterfront Park,US-MD,09 Apr 2023,L795955,S133234778,,1
127,28313,species,American Robin,Turdus migratorius,1,Bladensburg Waterfront Park,US-MD,09 Apr 2023,L795955,S133234778,,1
128,21346,species,Fish Crow,Corvus ossifragus,40,Bladensburg Waterfront Park,US-MD,09 Apr 2023,L795955,S133234778,,1
129,7716,species,Black Vulture,Coragyps atratus,1,Bladensburg Waterfront Park,US-MD,09 Apr 2023,L795955,S133234778,,1
130,7342,species,Double-crested Cormorant,Nannopterum auritum,29,Bladensburg Waterfront Park,US-MD,09 Apr 2023,L795955,S133234778,,1
131,6455,species,Ring-billed Gull,Larus delawarensis,30,Bladensburg Waterfront Park,US-MD,09 Apr 2023,L795955,S133234778,,1
132,525,species,Mallard,Anas platyrhynchos,1,Bladensburg Waterfront Park,US-MD,09 Apr 2023,L795955,S133234778,,1
133,330,species,Canada Goose,Branta canadensis,1,Bladensburg Waterfront Park,US-MD,09 Apr 2023,L795955,S133234778,,1
134,33500,species,Red-winged Blackbird,Agelaius phoeniceus,3,Anacostia River Trail (PG Co.),US-MD,09 Apr 2023,L1306688,S133228465,,1
24,8477,spuh,Buteo sp.,Buteo sp.,1,"Northwest Branch, Anacostia River",US-MD,16 Sep 2023,L3247711,S150004995,,0
27,6681,slash,Forster's/Common Tern,Sterna forsteri/hirundo,38,North Beach--fishing pier,US-MD,02 Jul 2023,L1485373,S143398188,,0
30,17329,spuh,new world flycatcher sp.,Tyrannidae sp.,1,Jug Bay Wetlands--Otter Point-Two Run Trail Loop,US-MD,02 Jul 2023,L5939838,S143396816,,0
35,8480,spuh,hawk sp.,Accipitridae sp. (hawk sp.),1,Fishing Creek Marsh,US-MD,12 Jun 2023,L505525,S141344483,,0
36,6728,spuh,tern sp.,Sterninae sp.,1,North Beach--fishing pier,US-MD,12 Jun 2023,L1485373,S141322687,,0
50,767,spuh,duck sp.,Anatidae (duck sp.),1,West Hyattsville Metro Ponds,US-MD,01 Jun 2023,L23706897,S140155430,,0
51,6548,spuh,gull sp.,Larinae sp.,1,North Beach--fishing pier,US-MD,28 May 2023,L1485373,S139659018,,0
53,24075,spuh,swallow sp.,Hirundinidae sp.,1,Patuxent River Park--Jackson Landing,US-MD,28 May 2023,L882481,S139637325,,0
74,21348,slash,American/Fish Crow,Corvus brachyrhynchos/ossifragus,2,West Hyattsville Metro Ponds,US-MD,16 May 2023,L23706897,S137973267,,0
99,6291,spuh,shorebird sp.,Charadriiformes sp. (shorebird sp.),4,Bladensburg Waterfront Park,US-MD,24 Apr 2023,L795955,S134837703,,0
