Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
52,7611,species,Green Heron,Butorides virescens,1,Kenilworth Park and Aquatic Gardens,US-DC,06 May 2023,L247770,S136270225,,1
53,6067,species,Solitary Sandpiper,Tringa solitaria,1,Kenilworth Park and Aquatic Gardens,US-DC,06 May 2023,L247770,S136270225,,1
54,6064,species,Spotted Sandpiper,Actitis macularius,2,Kenilworth Park and Aquatic Gardens,US-DC,06 May 2023,L247770,S136270225,,1
55,33779,species,American Redstart,Setophaga ruticilla,1,Rock Creek Park--upper Beach Drive,US-DC,03 May 2023,L742205,S135909930,,1
56,33685,species,Black-and-white Warbler,Mniotilta varia,1,Rock Creek Park--upper Beach Drive,US-DC,03 May 2023,L742205,S135909930,,1
57,33675,species,Louisiana Waterthrush,Parkesia motacilla,1,Rock Creek Park--upper Beach Drive,US-DC,03 May 2023,L742205,S135909930,,1
58,28095,species,Wood Thrush,Hylocichla mustelina,1,Rock Creek Park--upper Beach Drive,US-DC,03 May 2023,L742205,S135909930,,1
59,17165,species,Great Crested Flycatcher,Myiarchus crinitus,1,Fort Circle Parks,US-DC,02 May 2023,L23360513,S135868945,,1
60,28061,species,Veery,Catharus fuscescens,1,Fort Totten Park ,US-DC,02 May 2023,L751775,S135789017,,1
61,34145,species,Scarlet Tanager,Piranga olivacea,1,Fort Totten Park ,US-DC,30 Apr 2023,L751775,S135595831,,1
62,33669,species,Ovenbird,Seiurus aurocapilla,1,Fort Totten Park ,US-DC,30 Apr 2023,L751775,S135595831,,1
63,11016,species,Yellow-bellied Sapsucker,Sphyrapicus varius,1,Fort Totten Park ,US-DC,30 Apr 2023,L751775,S135595831,,1
64,26942,species,Northern House Wren,Troglodytes aedon,1,Fort Totten Park ,US-DC,26 Apr 2023,L751775,S135052829,,1
65,3842,species,Chimney Swift,Chaetura pelagica,2,Fort Totten Park ,US-DC,24 Apr 2023,L751775,S134908170,,1
66,23957,species,Barn Swallow,Hirundo rustica,2,Rock Creek Park--upper Beach Drive,US-DC,22 Apr 2023,L742205,S134567264,,1
67,23876,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,2,Rock Creek Park--upper Beach Drive,US-DC,22 Apr 2023,L742205,S134567264,,1
68,27795,species,Brown Thrasher,Toxostoma rufum,2,Fort Circle Parks,US-DC,21 Apr 2023,L23360513,S134449499,,1
69,27758,species,Gray Catbird,Dumetella carolinensis,1,Fort Circle Parks,US-DC,18 Apr 2023,L23360513,S134164966,,1
71,26595,species,Ruby-crowned Kinglet,Corthylio calendula,1,Fort Circle Parks,US-DC,18 Apr 2023,L23360513,S134164966,,1
72,33874,species,Yellow-rumped Warbler,Setophaga coronata,3,Rock Creek Park--Maintenance Yard,US-DC,17 Apr 2023,L1514892,S134075969,,1
73,29618,species,Cedar Waxwing,Bombycilla cedrorum,1,Rock Creek Park--upper Beach Drive,US-DC,16 Apr 2023,L742205,S133940210,,1
74,11647,species,Pileated Woodpecker,Dryocopus pileatus,1,Rock Creek Park--upper Beach Drive,US-DC,16 Apr 2023,L742205,S133940210,,1
75,32048,species,Purple Finch,Haemorhous purpureus,3,Rock Creek Park--West End,US-DC,15 Apr 2023,L4354964,S133896506,,1
76,32708,species,Chipping Sparrow,Spizella passerina,4,Fort Totten Park ,US-DC,14 Apr 2023,L751775,S133683040,,1
77,6776,species,Pied-billed Grebe,Podilymbus podiceps,1,McMillan Reservoir,US-DC,13 Apr 2023,L271348,S133645078,,1
79,28081,species,Hermit Thrush,Catharus guttatus,1,Fort Circle Parks,US-DC,13 Apr 2023,L23360513,S133585346,,1
80,11314,species,Hairy Woodpecker,Dryobates villosus,2,Rock Creek Park--Rapids Bridge area,US-DC,12 Apr 2023,L11384727,S133548327,,1
81,6092,species,Greater Yellowlegs,Tringa melanoleuca,2,Kenilworth Park and Aquatic Gardens,US-DC,09 Apr 2023,L247770,S133224822,,1
82,7658,species,Great Blue Heron,Ardea herodias,1,Rock Creek Park Trail - Q St. NW,US-DC,08 Apr 2023,L7150197,S133099135,,1
83,9117,species,Barred Owl,Strix varia,1,National Zoological Park,US-DC,08 Apr 2023,L219613,S133096616,,1
84,32338,species,American Goldfinch,Spinus tristis,4,Rock Creek Park--Maintenance Yard,US-DC,08 Apr 2023,L1514892,S133085555,,1
85,21936,species,Tufted Titmouse,Baeolophus bicolor,2,Rock Creek Park--Maintenance Yard,US-DC,08 Apr 2023,L1514892,S133085555,,1
86,21836,species,Carolina Chickadee,Poecile carolinensis,2,Rock Creek Park--Maintenance Yard,US-DC,08 Apr 2023,L1514892,S133085555,,1
87,7716,species,Black Vulture,Coragyps atratus,1,Rock Creek Park--Maintenance Yard,US-DC,08 Apr 2023,L1514892,S133085555,,1
88,16840,species,Eastern Phoebe,Sayornis phoebe,1,Rock Creek Park--Peirce Mill,US-DC,08 Apr 2023,L881762,S133066894,,1
89,11287,species,Downy Woodpecker,Dryobates pubescens,1,Rock Creek Park--Peirce Mill,US-DC,08 Apr 2023,L881762,S133066894,,1
90,26874,species,Blue-gray Gnatcatcher,Polioptila caerulea,4,Rock Creek Park--Carter Barron area,US-DC,07 Apr 2023,L11016167,S132997075,,1
91,7342,species,Double-crested Cormorant,Nannopterum auritum,2,East Potomac Park--Hains Pt.,US-DC,06 Apr 2023,L168994,S132908749,,1
92,6455,species,Ring-billed Gull,Larus delawarensis,30,East Potomac Park--Hains Pt.,US-DC,06 Apr 2023,L168994,S132908749,,1
93,33136,species,Eastern Towhee,Pipilo erythrophthalmus,1,Fort Circle Parks,US-DC,06 Apr 2023,L23360513,S132862900,,1
94,32995,species,Song Sparrow,Melospiza melodia,2,Fort Circle Parks,US-DC,06 Apr 2023,L23360513,S132862900,,1
95,32919,species,White-throated Sparrow,Zonotrichia albicollis,1,Fort Circle Parks,US-DC,06 Apr 2023,L23360513,S132862900,,1
96,21346,species,Fish Crow,Corvus ossifragus,2,Fort Circle Parks,US-DC,05 Apr 2023,L23360513,S132805315,,1
97,330,species,Canada Goose,Branta canadensis,2,Fort Circle Parks,US-DC,05 Apr 2023,L23360513,S132805315,,1
98,32034,species,House Finch,Haemorhous mexicanus,1,NPR,US-DC,05 Apr 2023,L23407258,S132789395,N,1
99,27107,species,Carolina Wren,Thryothorus ludovicianus,1,Fort Totten Park ,US-DC,04 Apr 2023,L751775,S132730725,,1
100,33576,species,Common Grackle,Quiscalus quiscula,2,Fort Circle Parks,US-DC,04 Apr 2023,L23360513,S132669331,,1
101,33556,species,Brown-headed Cowbird,Molothrus ater,2,Fort Circle Parks,US-DC,04 Apr 2023,L23360513,S132669331,,1
102,27870,species,Northern Mockingbird,Mimus polyglottos,2,Fort Circle Parks,US-DC,04 Apr 2023,L23360513,S132669331,,1
103,11785,species,Northern Flicker,Colaptes auratus,2,Fort Circle Parks,US-DC,04 Apr 2023,L23360513,S132669331,,1
104,11088,species,Red-bellied Woodpecker,Melanerpes carolinus,1,Fort Circle Parks,US-DC,03 Apr 2023,L23360513,S132616024,,1
105,31261,species,House Sparrow,Passer domesticus,9,Fort Circle Parks,US-DC,03 Apr 2023,L23360513,S132582847,N,1
106,21333,species,American Crow,Corvus brachyrhynchos,3,Fort Circle Parks,US-DC,03 Apr 2023,L23360513,S132582847,,1
107,33500,species,Red-winged Blackbird,Agelaius phoeniceus,1,National Arboretum,US-DC,02 Apr 2023,L210720,S132537278,,1
108,28313,species,American Robin,Turdus migratorius,10,National Arboretum,US-DC,02 Apr 2023,L210720,S132537278,,1
109,27571,species,European Starling,Sturnus vulgaris,5,National Arboretum,US-DC,02 Apr 2023,L210720,S132537278,N,1
110,7720,species,Turkey Vulture,Cathartes aura,1,National Arboretum,US-DC,02 Apr 2023,L210720,S132537278,,1
111,525,species,Mallard,Anas platyrhynchos,2,National Arboretum,US-DC,02 Apr 2023,L210720,S132537278,,1
112,34224,species,Northern Cardinal,Cardinalis cardinalis,1,Fort Circle Parks,US-DC,30 Mar 2023,L23360513,S132538424,,1
113,32842,species,Dark-eyed Junco,Junco hyemalis,1,Fort Circle Parks,US-DC,30 Mar 2023,L23360513,S132538424,,1
114,26640,species,White-breasted Nuthatch,Sitta carolinensis,1,Fort Circle Parks,US-DC,30 Mar 2023,L23360513,S132538424,,1
115,21066,species,Blue Jay,Cyanocitta cristata,1,Fort Circle Parks,US-DC,30 Mar 2023,L23360513,S132538424,,1
